GaugeLID,Location,Latitude,Longitude,Waterbody,State,Action,Flood,Moderate,Major,LowThresh,LowThreshU
COLV2,Coles Run Dam,37.976111,-79.03,Coles Run,VA,,,,,,ft
COML1,Comite Drive,30.558056,-91.098056,Comite River,LA,,,,,,ft
COMO2,Commerce,36.928611,-94.957222,Neosho River,OK,14,15,18,24,,ft
COMP4,Comerio,18.223056,-66.225,Rio De La Plata,PR,8,11,13,18,,ft
COMT2,Comfort,29.965278,-98.897222,Guadalupe River,TX,10,21,26,28,,ft
COMW3,Commonwealth,45.9475,-88.215278,Brule River,WI,10,12,14,16,,ft
CONF1,Concord (CR 12),30.668889,-84.305278,Ochlockonee River,FL,33,36,38,44,,ft
CONL1,Bayou Conway near Sorrento,30.173056,-90.844444,Amite River Basin,LA,,,,,,ft
CONN3,Concord,43.20897,-71.5303,Merrimack River,NH,12,14,17,20,,ft
CONW1,Concrete,48.524444,-121.769722,Skagit River,WA,,28,30,32.5,,ft
COOA2,Cooper Landing,60.492778,-149.807778,Kenai River,AK,12,13,15.5,16.5,,ft
COOK1,Coolidge,38.0275,-102.011389,Arkansas River,KS,7,8,10,12,,ft
COOV2,Cootes Store,38.636944,-78.853056,North Fork Shenandoah River,VA,10,15,18,21,,ft
COPI2,Copperas Creek,40.47611,-89.88833,Illinois River,IL,,,,,,ft
COPT2,Cooper,33.356389,-95.594722,South Sulphur River,TX,14,16,20,25,,ft
COQO3,Coquille,43.157942,-124.181794,Coquille River,OR,20,21,23,25,,ft
CORK2,Corbin,36.95,-84.1,Lynn Camp Creek,KY,,,,,,ft
CORM8,Corwin Springs,45.111944,-110.793611,Yellowstone River,MT,,11,12,13,,ft
CORO3,Corvallis,44.566389,-123.256944,Willamette River,OR,26,30,33,36,,ft
CORP4,Corozal,18.353611,-66.335278,Rio Cibuco,PR,8,13,18,20,,ft
COSM5,Cosmos,44.935556,-94.675278,South Fork Crow River,MN,,,,,,ft
COSS2,Corson,43.616389,-96.565,Split Rock Creek,SD,7,8.5,11,14,,ft
COTA4,Colt,35.144722,-90.878056,L'Anguille River,AR,,,,,,ft
COTC1,Cottonwood Below Coleman Fish Hatchery,40.398333,-122.145278,Battle Creek,CA,,,,,,ft
COTI1,Fivemile Creek,43.628611,-116.110833,Cottonwood Creek,ID,,,,,,ft
COTP1,Coatesville,39.985556,-75.827778,West Branch Brandywine Creek,PA,6,7,9,11,,ft
COTT1,Collierville,35.081389,-89.650556,Wolf River,TN,9,13,16,19,,ft
COTT2,Cotulla,28.426111,-99.239722,Nueces River,TX,9,15,15,17,,ft
COVV1,Coventry,44.871389,-72.200556,Barton River,VT,7,8,,,,ft
COWK1,Wichita 119th St,37.7016,-97.4805,Cowskin Creek,KS,16,18,22,24,,ft
COWN6,Canastota,43.0956,-75.7511,Cowaselon Creek,NY,,,,,,ft
COWP1,Cowanesque Dam on Cowanseque River,41.984722,-77.151389,Central PA Dams,PA,,,,,,ft
COWS1,Cowpens,35.0475,-81.855833,Pacolet River,SC,12,14,16,18,,ft
COWV2,Clifton Forge,37.791667,-79.759444,Cowpasture River,VA,7,9,12,15,,ft
COXI3,Coxville,39.6525,-87.293611,Big Raccoon Creek,IN,11,14,16,18,32,cfs
COZN1,Cozad (North Channel),40.8375,-99.986667,Platte River,NE,5.5,6.5,8,10,,ft
CPAT1,Chimney Picnic Area,35.637222,-83.493333,West Prong Little Pigeon River,TN,,,,,,ft
CPBO1,Napoleon,41.383056,-84.128611,Maumee River,OH,10,12,15,17,,ft
CPCC1,Carpinteria,34.402778,-119.488889,Carpinteria Creek,CA,,,,,,ft
CPCI2,Crete,41.435556,-87.571389,Plum Creek (IL),IL,,,,,,ft
CPDN5,Carlsbad below Dark Canyon,32.409167,-104.215,Pecos River,NM,12,14,17,20,,ft
CPEI3,Cosperville,41.481667,-85.475556,North Branch Elkhart River,IN,5,6,7,8,,ft
CPEW1,Mouth,46.267778,-118.165,Coppei Creek,WA,,,,,,ft
CPFN7,Lock 1,34.404444,-78.293611,Cape Fear River,NC,22,24,26,28,,ft
CPGM7,Cape Girardeau,37.301944,-89.518056,Mississippi River,MO,29,32,37,42,,ft
CPHP1,Camp Hill,40.224722,-76.898333,Yellow Breeches Creek,PA,6,7,9,13,,ft
CPHT1,Copperhill,34.991389,-84.376667,Toccoa River (GA) / Ocoee River (TN),TN,6,8,12,14,,ft
CPKC2,Parker,39.519167,-104.779167,Cherry Creek (CO),CO,7.5,8.5,10,12,,ft
CPLO2,Copan Lake,36.885556,-95.971389,Eastern Oklahoma Lakes,OK,,,,732,,ft
CPLW1,Pe Ell,46.545278,-123.298056,Chehalis River,WA,,,,,,ft
CPNK2,Camp Nelson,37.745278,-84.586667,Kentucky River,KY,28,30,36,40,,ft
CPNN6,Chapin,42.918056,-77.233056,Canandaigua Outlet,NY,6,7,8,9,,ft
CPPM2,College Park,39.033056,-76.964167,Paint Branch,MD,9,12,14,22,,ft
CPPT2,Cooper,33.474722,-95.5875,North Sulphur River,TX,28,30,34,37,,ft
CPRN8,Cooperstown,47.432778,-98.027222,Sheyenne River,ND,,,,,,ft
CPRW4,Casper,42.853611,-106.331111,North Platte River,WY,7,8,,,,ft
CPTR1,Conimicut Point,41.716667,-71.343333,Narragansett Bay,RI,6,7,9,12,,ft
CPZM7,Clarence Cannon Dam (pool),39.524722,-91.644167,Salt River,MO,,,,,,ft
CQRM5,Burnett,46.896389,-92.515,Cloquet River,MN,,,,,,ft
CQUG1,Colquitt,31.173889,-84.745,Spring Creek,GA,8,10,12,18,,ft
CRAI4,Coralville,41.676667,-91.598611,Clear Creek (IA),IA,10,11,,,,ft
CRAO3,Crane Prairie Reservoir,43.75,-121.783333,Deschutes River (OR),OR,,,,,,ft
CRAR1,Cranston,41.750934,-71.445058,Pawtuxet River,RI,8,9,11,13,,ft
CRBN5,Lakewood,32.506111,-104.375,Rocky Arroyo,NM,21,25,26,27,,ft
CRBN7,Capitol Blvd (US Rt 1),35.811111,-78.611944,Crabtree Creek,NC,16,18,19,21,,ft
CRCA3,Redlands Crossing,35.804444,-112.426389,Cataract Creek,AZ,,,,,,ft
CRCO1,Circleville,39.601389,-82.955278,Scioto River,OH,13,15,19,24,,ft
CRCP1,Crooked Ck. Dam Pool,40.714167,-79.508333,Crooked Creek,PA,,917.4,,,,ft
CRCS2,Beulah,44.570556,-104.005278,Crow Creek (SD),SD,,,,,,ft
CRCT1,Rogersville,36.379722,-83.046667,Crockett Creek,TN,,,,,,ft
CRCV2,Centreville,38.820833,-77.466666,Cub Run,VA,,,,,,ft
CRDA1,Cordova,33.7575,-87.170278,Black Warrior River,AL,18,22,24,28,,ft
CRDO1,Claridon,40.582778,-82.988889,Olentangy River,OH,7,,,,,ft
CRDU1,Croyden,41.176389,-111.405556,Lost Creek,UT,2.4,2.5,2.7,3,,ft
CREA1,Weiss Dam,34.171944,-85.753889,Coosa River,AL,564.5,567,572,575,555,ft
CREC1,Jed Smith near Crescent City,41.791667,-124.075,Smith River,CA,25,29,34,37,,ft
CREK2,Carlisle,38.247222,-84.055278,Hinkston Creek,KY,,,,,,ft
CREM6,Caesar,30.571389,-89.594722,East Hobolochitto Creek,MS,12,15,17,20,,ft
CRFM4,Crystal Falls,46.113889,-88.215833,Michigamme River,MI,7,8,10,12,,ft
CRFN7,SR 2074 NR CROFT #6531,35.361389,-80.8975,Gar Creek,NC,19,22,24,28,,ft
CRFP1,Cross Fork,41.475833,-77.826111,Kettle Creek,PA,,,,,,ft
CRFT2,Crawford,31.555556,-97.356111,Hog Creek,TX,10,14,16,17,,ft
CRGA4,Corning,36.401944,-90.541389,Black River,AR,12,15,15.5,16,,ft
CRGV2,Parr,37.665833,-79.911389,Craig Creek,VA,10,12,15,18,,ft
CRHA2,Hunts Creek,64.86,-146.803333,Chena River,AK,15.2,17.2,,,,ft
CRIW3,High Falls,45.278333,-88.197778,Peshtigo River,WI,817,820,821.5,823,,ft
CRKG1,Norcross,33.965,-84.265,Crooked Creek,GA,9,11,14,16,,ft
CRKM5,Crookston,47.775556,-96.61,Red Lake River,MN,12,15,23,25,,ft
CRKT1,Cherokee Dam,36.169167,-83.497778,Holston River,TN,,,,,,ft
CRKT2,Crockett,31.338333,-95.656111,Trinity River,TX,35,41,45,48,,ft
CRLI2,Carlyle Dam Tailwater,38.617222,-89.353889,Kaskaskia River,IL,421.5,423.5,431,435,,ft
CRLI3,Carlisle,38.974167,-87.425833,Busseron Creek,IN,14,16,18,,0.7,cfs
CRLK2,Cave Run Lake,38.1175,-83.532222,Licking River,KY,765,765,765,765,,ft
CRLN4,Lincoln Park - Park Avenue,40.925278,-74.3025,Beaver Dam Brook,NJ,,,,,,
CRMC1,,36.535278,-121.924444,Carmel River Lagoon,CA,8.7,,,,,ft
CRMF1,Croom,28.5925,-82.222222,Withlacoochee River (FL),FL,8,9,10.8,12,,ft
CRMK2,Cressmont,37.500556,-83.810278,Sturgeon Creek,KY,,,,,,ft
CRNA2,Northway Road Bridge,63.006389,-141.806944,Chisana River,AK,12,12.5,,,,ft
CRNM4,Cornell,45.908611,-87.213611,Escanaba River,MI,8,10,12,14,,ft
CRNN6,Corning,42.146389,-77.057778,Chemung River,NY,21,29,30,36,,ft
CRNV2,Cornwall IFLOWS,37.805,-79.324167,South River (VA),VA,8,9,,,,ft
CRNW1,Carnation,47.666111,-121.924167,Snoqualmie River,WA,,54,56,58,,ft
CROI4,Orchard,43.206944,-92.792778,Cedar River,IA,7,10,,,,ft
CROM4,Croton Dam,43.434722,-85.665278,Muskegon River,MI,8,9,11,12,,ft
CROW3,Castle Rock Dam,43.865833,-89.954722,Wisconsin River,WI,10,30,37.5,45,,ft
CROW4,Crowheart,43.2425,-109.010556,Wind River,WY,9,10,10.5,11,,ft
CRPO3,Prineville Reservoir,44.179167,-120.587778,Crooked River (OR),OR,,,,,,ft
CRPV2,Eisenhower Avenue in Alexandria,38.804444,-77.106111,Cameron Run,VA,6,8,9.8,11,,ft
CRPW1,Porter,46.939444,-123.313056,Chehalis River,WA,,21,23,25,,ft
CRRA1,Yates Dam,32.573889,-85.889167,Tallapoosa River,AL,,,,,,ft
CRRI4,Correctionville,42.482222,-95.792778,Little Sioux River,IA,17,19,21,23,,ft
CRRV2,Wolf Trap near Besley Road,38.935278,-77.253333,Old Courthouse Spring Branch,VA,,,,,,ft
CRSA2,Steese Hwy Bridge,65.190556,-147.254167,Chatanika River,AK,,,,,,
CRSW2,South Side Bridge,38.3475,-81.636111,Kanawha River,WV,26,30,35,40,,ft
CRTM5,Courtland 2S,44.246389,-94.338611,Little Cottonwood River,MN,,,,,,ft
CRTM7,Caruthersville,36.194722,-89.653611,Mississippi River,MO,29,32,41,43,6,ft
CRTN1,Crete,40.5965,-96.96072,Big Blue River,NE,19,21,25,29,,ft
CRTN6,Cortland,42.602778,-76.159722,Tioughnioga River,NY,7,8,10,12.5,,ft
CRUA2,Umiat,69.360556,-152.121667,Colville River,AK,,,,,,
CRVA2,Cordova,60.558333,-145.753333,Cordova,AK,,,,,,ft
CRVF1,Crestview,30.697222,-86.570833,Shoal River,FL,5,8,12,15,,ft
CRVN7,Burnsville,35.873889,-82.319444,Cane River (NC),NC,7,8,12,14,,ft
CRVP1,Curwensville,40.961389,-78.519444,West Branch Susquehanna River,PA,,,,,,ft
CRWI1,Weiser,44.291389,-116.782222,Crane Creek,ID,,,,,,ft
CRWI3,Crawfordsville,40.048889,-86.899444,Sugar Creek (IN),IN,4,8,10,14,0.01,kcfs
CRWP1,Curwensville Dam on West Branch Susquehanna,40.953611,-78.527778,Central PA Dams,PA,,,,,,ft
CRYM4,Crystal Falls,46.105833,-88.334722,Paint River,MI,5.5,7,8,9.5,,ft
CRZA3,Show Low,33.985881,-110.280942,Carrizo Creek,AZ,7,15,17,21,,ft
CSAG1,Sea Camp Dock on Cumberland Island,30.764444,-81.471389,Atlantic Coast,GA,4.5,5,5.5,7,-6.5,ft
CSBN5,Carlsbad,32.511111,-104.333333,Pecos River,NM,18,20,22,24,,ft
CSBV2,Cassidy Bridge IFLOWS,38.134722,-79.865278,Back Creek (Bath Co. VA),VA,6,7,,,,ft
CSCA3,Cortaro,32.351111,-111.093889,Santa Cruz River,AZ,17.2,18.5,19.5,20.7,,ft
CSCO1,Central College,40.103611,-82.884167,Big Walnut Creek,OH,10,,,,,ft
CSCS1,Conway,33.860833,-79.041389,Crabtree Swamp,SC,,,,,,ft
CSDI1,Cascade Dam,44.525,-116.046111,Payette River,ID,,7,,,,ft
CSFS1,Chesterfield,34.631944,-80.181389,Black Creek (SC),SC,13,14,15,16,,ft
CSHL1,Coushatta,32.012778,-93.353056,Red River,LA,30.5,31,33,37,,ft
CSHO1,Coshocton,40.248333,-81.873056,Muskingum River,OH,13,15,18,20,,ft
CSHS2,Cash,45.648889,-102.640833,Grand River (SD),SD,10,12,,,,ft
CSKK1,Scammon,37.280556,-94.675,Cow Creek (SE KS),KS,,,,,,ft
CSNM7,Cook Station,37.829167,-91.4375,Meramec River,MO,5.5,,,,,ft
CSPM4,Caspian,46.058611,-88.627222,Iron River,MI,10,11,13,15,,ft
CSQG1,GA 197 NR Clarkesville,34.618611,-83.528889,Soque River,GA,11,12,19,25,,ft
CSRA2,Canyon Mouth,61.148889,-149.729444,Campbell Creek,AK,,,,,,
CSRC1,Dam,37.529722,-122.361944,Lower Crystal Springs Reservoir,CA,284,,,,,ft
CSRI4,Ames Cameron School Rd,42.071111,-93.673056,Squaw Creek (Central IA),IA,13,,,,,ft
CSRM5,Campbell,46.095278,-96.410278,Rabbit River,MN,,,,,,ft
CSSM4,Cass City,43.584167,-83.176111,Cass River,MI,12,14,18,20,,ft
CSTT2,Castolon,29.137778,-103.524444,Rio Grande,TX,13,15,19,24,,ft
CSVM4,Curtisville (Alcona Dam),44.560833,-83.802778,Au Sable River,MI,,,,,,ft
CSVT2,Smithson Valley Rd nr Bulverde,29.748333,-98.407778,Cibolo Creek,TX,,,,,,ft
CSWS2,Castlewood,44.731667,-97.044444,Big Sioux River,SD,8,9,11,16,,ft
CTAW1,Centralia,46.730278,-122.953889,Skookumchuck River,WA,,85,86,86.9,,ft
CTBS1,Catawba,34.836111,-80.879722,Catawba River,SC,28,58,60,64,,ft
CTCS2,Hill City,44.013611,-103.83,Castle Creek,SD,4.5,6,7,7.5,,ft
CTDN5,Cochiti Pueblo,35.618056,-106.323889,Rio Grande,NM,6,6.6,7.5,9,,ft
CTFL1,Cutoff,29.5175,-91.181389,Little Lake,LA,,,,,,ft
CTFN7,EBCI Trout Farm,35.577778,-83.261389,Raven Fork Creek,NC,,,,,,
CTGM1,Cutler,44.62806,-67.26917,Gulf of Maine,ME,16,,,,,ft
CTHO3,Union,45.155556,-117.773889,Catherine Creek,OR,,,,,,ft
CTHT1,Carthage,36.248056,-85.955278,Cumberland River,TN,35,40,43,47,,ft
CTHV2,Catharpin,38.889568,-77.570139,Bull Run,VA,,,,,,ft
CTIC1,Stony Point Road NR Cotati,38.352222,-122.743056,Laguna de Santa Rosa,CA,82,84,85,89,,ft
CTLI1,Cataldo,47.555,-116.324444,Coeur d'Alene River,ID,42,43,46,50,,ft
CTMF1,Curtis Mill (US-319),29.988333,-84.5025,Ochlockonee River,FL,4.5,6,7.5,9,,ft
CTMI2,Chatham,39.659075,-89.658936,Sugar Creek (IL),IL,,,,,,ft
CTMM2,Clarksburg,39.223333,-77.312222,Ten Mile Creek,MD,,,,,,ft
CTNM2,Centennial,39.239722,-76.8475,Little Patuxent River,MD,,,,,,ft
CTNT2,Clifton,31.785833,-97.567778,North Bosque River,TX,22,23,27,31,,ft
CTOO2,Catoosa,36.203611,-95.707222,Verdigris River,OK,,,,,,ft
CTPN7,Canton,35.524444,-82.846667,Pigeon River (NC),NC,8,10,15,19,,ft
CTQC1,Tide Gage,37.4667,-122.0167,Coyote Creek,CA,,,,,,ft
CTRG1,Carters Lake,34.615833,-84.670556,Coosawattee River,GA,1074,,,,,ft
CTRM7,Smithfield,37.155556,-94.602778,Center Creek (MO),MO,,,,,,ft
CTSM2,Catonsville,39.251389,-76.763889,Patapsco River,MD,18,20,25,,,ft
CTTN6,Chittenango,43.021,-75.8586,Chittenango Creek,NY,,,,,,ft
CTTS2,Cottonwood,43.968889,-101.766667,Bad River (SD),SD,10,12,16,18,,ft
CTVG1,Cartersville,34.142778,-84.839167,Etowah River,GA,16,18,19,20,,ft
CTVI2,Chesterville,39.703056,-88.386389,Kaskaskia River,IL,,,,,,ft
CTVM3,E Br at Coltsville,42.469444,-73.196944,Housatonic River,MA,4,5,8,10,,ft
CTWG1,Cedartown,33.995833,-85.264722,Big Cedar Creek,GA,13,15,16,18,,ft
CTWK1,Cottonwood Falls,38.375556,-96.541944,Cottonwood River,KS,7,9,11,18,,ft
CTWV2,Catawba,37.468056,-80.005278,Catawba Creek,VA,5,7,11,14,,ft
CTYF1,Century,30.965,-87.234167,Escambia River,FL,12,17,25,37,,ft
CTYV2,Chantilly,38.882222,-77.431944,Flatlick Branch,VA,6,9,10,15,,ft
CTZM7,Cannon Dam tailwater,39.525,-91.643611,Salt River (MO),MO,,,,,,ft
CUBV2,Phenix,37.079167,-78.763889,Cub Creek,VA,10,12,,,,ft
CUCN7,Cullowhee,35.288611,-83.181389,Cullowhee Creek,NC,,,,,,
CUET2,Cuero,29.090278,-97.329444,Guadalupe River,TX,19,24,33,37,,ft
CULC1,Cull Creek Reservoir near Castro Valley,37.717778,-122.053333,Cull Creek,CA,,,,,,ft
CULN1,Culbertson,40.234722,-100.877778,Frenchman Creek,NE,7,8,10,12,,ft
CUSL1,Covington,30.494444,-90.169444,Tchefuncte River,LA,18,20,25,28,,ft
CUSN7,Peaceful Cove rd,35.141944,-83.294167,Peeks Creek,NC,,,,,,
CUST2,Cushing,31.86,-94.823056,East Fork Angelina River,TX,14,15,17,19,,ft
CUSW3,Columbus,43.34139,-89.01089,Crawfish River,WI,15,17.5,18.5,19.5,,ft
CUTT2,Cross Cutt,31.973333,-99.129167,Pecan Bayou,TX,16,33,37,40,,ft
CVCC1,Hayward,37.68,-122.079444,Castro Valley Creek,CA,5,5,7,,,ft
CVEL1,Boston Street,30.476389,-90.089444,Bogue Falaya River,LA,5,6,11,17,,ft
CVGI3,Covington,40.14,-87.406667,Wabash River,IN,11,16,24,28,1.04,kcfs
CVGV2,Covington,37.788611,-80.000833,Jackson River,VA,14,17,20,23,,ft
CVLG1,Lake Allatoona,34.162778,-84.727778,Etowah River,GA,840,860,,,,ft
CVLO2,Collinsville,36.394722,-95.81,Caney River,OK,26,26,29,33,,ft
CVQC1,,37.4925,-121.819722,Calaveras Reservoir,CA,,,,,,ft
CVRW1,Clover Island,46.216667,-119.108056,Columbia River,WA,,,,,,ft
CVTC3,Coventry,41.750654,-72.265635,Willimantic River,CT,7,8,11,14,,ft
CVTM2,Beltsville / Briggs Chaney Road,39.061111,-76.927778,Little Paint Branch,MD,,,,,,ft
CVYV1,Coventry,44.868889,-72.270556,Black River (Northern VT),VT,7,8,,,,ft
CVZC1,Lake Hennessey,38.508056,-122.406111,Conn Creek,CA,,,,,,ft
CWAC1,Cottownwood Creek Auxillary,40.387098,-122.238612,Cottonwood Creek,CA,,,,,,ft
CWAN7,Cowans Ford Dam,35.434722,-80.958333,Catawba River,NC,100,102,105,110,,ft
CWCC1,Millville,40.505278,-122.232222,Cow Creek,CA,13,17,,,,ft
CWCL1,Lake Cataouatche at Whiskey Canal,29.855278,-90.204722,Barataria Bay and Waterway,LA,,,,,,ft
CWCM2,Cumberland,39.669722,-78.788056,Wills Creek,MD,9,10,12,14,,ft
CWDI2,Cowden,39.229722,-88.841667,Kaskaskia River,IL,,15,,,,ft
CWMO3,Glendale,42.745278,-123.517222,Cow Creek,OR,,,,,,ft
CWOL1,White Oak Park,30.296944,-93.117778,Calcasieu River,LA,2.3,3.5,5,7,,ft
CWPN7,BETHEL,35.463889,-82.9,West Fork Pigeon River,NC,9.2,10,14,16,,ft
CWRT2,White River Lake,33.456389,-101.093056,Salt Fork - Brazos River,TX,,,,,,ft
CWYO2,Chewey,36.104167,-94.783056,Illinois River (AR OK),OK,9,12,15,20,,ft
CXLC1,Calpella,39.246667,-123.129167,East Fork Russian River,CA,,,,,,ft
CYBC1,Buckhorn,35.021944,-120.2275,Cuyama River,CA,,,,,,ft
CYCK1,Clay Center,39.355556,-97.127222,Republican River,KS,10,15,21,28,,ft
CYCK2,Clay City,37.864722,-83.933611,Red River,KY,13,17,19,23,,ft
CYDO2,Sardis Lake,34.629167,-95.350833,Eastern Oklahoma Lakes,OK,,,,607,,ft
CYEC1,Edenvale,37.2709,-121.7977,Coyote Creek,CA,9,10,12,14,,ft
CYFM4,Inflow to Michigamme Reservoir,46.201111,-88.152778,Michigamme River,MI,5,8,,,,ft
CYIC1,Percolation Pond,37.2348,-121.7607,Coyote Creek,CA,,,,,,ft
CYNG1,Hwy 76,34.813889,-83.306111,Chattooga River,GA,14,15,20,29,,ft
CYNK2,Cynthiana,38.390833,-84.303056,South Fork Licking River,KY,19,20,22,23,,ft
CYNL1,Clayton,31.7246,-91.5443,Tensas River,LA,54,55,58,65,,ft
CYNM8,Canyon Ferry Reservoir,46.649167,-111.7275,Missouri River,MT,3800,,,,,ft
CYNS2,Canyon Lake near Rapid City,44.052778,-103.311389,Rapid Creek,SD,5,7,9,11,,ft
CYQC1,Percolation Pond,37.2348,-121.7607,Coyote Creek,CA,,,,,,ft
CYTC1,Madrone,37.1685,-121.6495,Coyote Creek,CA,8,,9,,,ft
CYWC1,Piercy Rd,37.2541,-121.7808,Coyote Creek,CA,,,,,,ft
CYYC1,E Williams Rd,37.3369,-121.8683,Coyote Creek,CA,,,,,,ft
CZCI3,Cuzco,38.441944,-86.714167,Patoka River,IN,,,,,,ft
CZRN6,Perry Mills,45,-73.501389,Great Chazy River,NY,8,9,10,12,,ft
DACG1,Dacula,34.010278,-83.894167,Apalachee River,GA,6,8,10,16,,ft
DACL1,Bayou Grand Callou at Dulac,29.382778,-90.715278,Mississippi River Delta Basin,LA,,,,,,ft
DACN5,Carlsbad,32.403333,-104.229444,Dark Canyon,NM,9,15,18,22,,ft
DAEV2,Daleville,37.4175,-79.935556,Tinker Creek,VA,9,11,13,15,,ft
DAKI4,Dakota City,42.723582,-94.193489,East Fork Des Moines River,IA,18,20,24,28,,ft
DALA1,Daleville (SR 84),31.305556,-85.743889,Claybank Creek,AL,13,,,,,ft
DALN7,Dalton,36.298889,-80.431389,Little Yadkin River,NC,6,,,,,ft
DALP1,Dalmatia,40.611111,-76.912222,East Mahantango Creek,PA,,,,,,ft
DALT2,Dallas,32.774722,-96.821667,Trinity River,TX,29,30,38,40,243,cfs
DANA4,Danville,35.066667,-93.4,Petit Jean River,AR,20,20,24,26,,ft
DANP1,Danville,40.958056,-76.619444,Susquehanna River,PA,15,20,23,30,,ft
DANW3,Danbury,46.076111,-92.246667,St. Croix River,WI,,,,,,ft
DARA4,Dardanelle,35.226111,-93.149444,Arkansas River,AR,32,32,36,40,,ft
DARL1,Darlington,30.888889,-90.844444,Amite River,LA,16,18,21,23,,ft
DARM8,Darby,45.97205,-114.141,Bitterroot River,MT,7,7.5,,,,ft
DARN5,Roswell,33.349167,-104.851667,Rio Hondo,NM,25,26,27,28,,ft
DARN8,Lake Darling,48.458056,-101.583333,Souris River,ND,,,,,,ft
DARV2,Darwin,37.059722,-82.494444,Cranes Nest River,VA,12,15,,,,ft
DARW3,Darlington,42.677778,-90.118611,Pecatonica River,WI,10,13.5,15,16,,ft
DAVG1,Davisboro,32.975556,-82.61,Williamson Swamp Creek,GA,8,10,13,15,,ft
DAVI3,Davis,41.389722,-86.706111,Kankakee River,IN,9,10,12,13,,ft
DAVM4,Davison,43.033611,-83.581389,Kearsley Creek,MI,8,10,11,12,,ft
DAVN3,Davisville,43.250833,-71.732778,Warner River,NH,6,8,10,12,,ft
DAVN7,hwy 276 near Pisgah Forest,35.273056,-82.705833,Davidson River,NC,4.5,6,14,16.5,,ft
DAVW2,Davis,39.14,-79.42,Blackwater River (WV),WV,,,,,,ft
DAWC1,Dunaweal Lane,38.568889,-122.555,Napa River,CA,13,,16,,,ft
DAWC3,Lake Dawson,41.367778,-72.98,Lake Dawson,CT,,,,,,ft
DAWM2,Dawsonville,39.128056,-77.335833,Seneca Creek,MD,5,7.5,11,16,,ft
DAWM5,Dawson,44.929167,-96.0525,West Branch Lac Qui Parle River,MN,,,,,,ft
DAWN5,Dawson,36.681111,-104.786389,Vermejo River,NM,9,9,13,16,,ft
DAWT2,Navarro Mills Lake,31.9575,-96.689167,North Texas Lakes,TX,,,,,,ft
DAYI2,Dayton,41.383889,-88.789722,Fox River,IL,11,12,14,24,,ft
DAYN5,Dayton,32.743333,-104.414167,Rio Penasco,NM,16,20,22,25,,ft
DAYW4,Dayton,44.849444,-107.303889,Tongue River,WY,,,,,,ft
DBDC1,Discovery Bay Island Bay Blvd,37.892778,-121.6025,Discovery Bay,CA,,,,,,ft
DBDC2,Bedrock,38.358056,-108.831667,Dolores River,CO,9.7,11,13,15,,ft
DBGN1,Dannebrog,41.1568,-98.5571,Turkey Creek (trib. to Middle Loup),NE,15,17,21,26,,ft
DBHA2,Dillingham,59.0374,-158.462,Dillingham,AK,,,,,,ft
DBIC1,Indian Slough,37.917778,-121.586667,Discovery Bay,CA,,,,,,ft
DBNG1,Dublin,32.544444,-82.894722,Oconee River,GA,20,21,25,30,,ft
DBQI4,Dubuque (Railroad Bridge),42.499444,-90.653056,Mississippi River,IA,15,17,18,21.5,,ft
DBRI3,Dunns Bridge,41.22,-86.968333,Kankakee River,IN,9.5,10,12,13,,ft
DBRM8,Craig,47.199025,-112.095906,Dearborn River,MT,5.8,6.5,8,11,,ft
DBVA3,Rimrock,34.728611,-111.775,Dry Beaver Creek,AZ,12,12,15,18,,ft
DBVO1,Darbyville,39.700556,-83.110278,Big Darby Creek,OH,8,10,15,22,,ft
DBYT2,Derby,28.736389,-99.144444,Frio River,TX,6,6,7,17,,ft
DCBL1,Dawson Creek near Baton Rouge,30.382222,-91.094167,Amite River Basin,LA,,,,,,ft
DCBN8,05056500 Devils Lake at Creel Bay,48.099444,-98.902778,Devils Lake,ND,,0.1,0.2,0.3,,ft
DCDF1,Dunn Creek Road,30.455,-81.596944,Dunn Creek,FL,2.5,3,3.5,4.5,,ft
DCDI3,Delphi,40.590278,-86.620833,Deer Creek (IN),IN,7,11,14,18.5,12,cfs
DCDN1,Davis Creek Dam,41.415556,-98.748611,Davis Creek,NE,2076.73,2086.7,,2094,,ft
DCHC1,Truckee,39.321111,-120.206944,Donner Creek,CA,6.5,7.5,8.5,9.5,,ft
DCHI4,Dorchester,43.421111,-91.508611,Upper Iowa River,IA,11,14,17,19,,ft
DCJT2,Justin,33.118889,-97.290278,Denton Creek,TX,9,10,15,17,,ft
DCKA2,Kobuk,66.946111,-156.908889,Dahl Creek,AK,,,,,,ft
DCKC1,Donner Lk Nr Truckee,39.323611,-120.233333,Donner Creek,CA,5,5.5,6.3,7,,ft
DCKC2,Ridgway,38.177778,-107.757778,Dallas Creek,CO,5,6,8,10,,ft
DCKN2,Broadbent Blvd,36.090833,-115.023056,Duck Creek,NV,,,,,,ft
DCKW2,Morgantown,39.629167,-79.952778,Deckers Creek,WV,4,5,6,7,,ft
DCLC1,Lambert Bridge NR Geyserville,38.653333,-122.926111,Dry Creek (Russian R.),CA,,,,,,ft
DCLL1,Caillou Lake (Sister Lake) near Dulac,29.249167,-90.921111,Mississippi River Delta Basin,LA,,,,,,ft
DCMC1,Modesto,37.656667,-120.923333,Dry Creek,CA,,,,,,ft
DCNG1,Cornelia,34.540833,-83.622778,Chattahoochee River,GA,11,14,18,21,,ft
DCRA1,Daleville,31.275278,-85.678056,Choctawhatchee River,AL,17,,,,,ft
